,0
0,1
1,0
2,1
3,2
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,3
15,1
16,0
17,2
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,3
34,0
35,3
36,1
37,0
38,1
39,2
40,0
41,0
42,2
43,0
44,0
45,0
46,0
47,0
48,3
49,1
50,0
51,0
52,2
53,0
54,0
55,0
56,3
57,1
58,2
59,0
60,3
61,0
62,0
63,0
64,0
65,1
66,2
67,0
68,0
69,0
70,2
71,1
72,0
73,1
74,0
75,2
76,0
77,2
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,2
92,1
93,0
94,0
95,2
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,3
104,0
105,0
106,0
107,2
108,0
109,1
110,0
111,1
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,2
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,3
139,1
140,0
141,0
142,1
143,0
144,1
145,1
146,0
147,1
148,0
149,0
150,2
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,0
172,0
173,2
174,2
175,0
176,0
177,0
178,0
179,0
180,0
181,2
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,3
195,0
196,2
197,0
198,1
199,0
200,0
201,2
202,0
203,0
204,1
205,0
206,2
207,0
208,1
209,0
210,1
211,0
212,3
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,3
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,2
264,0
265,0
266,0
267,2
268,0
269,0
270,2
271,0
272,2
273,0
274,2
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,2
283,0
284,2
285,1
286,1
287,0
288,0
289,0
290,2
291,0
292,3
293,1
294,0
295,1
296,0
297,1
298,0
299,0
300,1
301,0
302,1
303,0
304,0
305,1
306,2
307,0
308,0
309,3
310,0
311,0
312,0
313,3
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,3
322,1
323,0
324,1
325,2
326,0
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,1
335,2
336,0
337,0
338,1
339,2
340,1
341,1
342,1
343,0
344,0
345,3
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,2
360,0
361,0
362,0
363,2
364,2
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,2
373,1
374,3
375,0
376,1
377,0
378,2
379,0
380,0
381,2
382,2
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,2
391,0
392,1
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,2
403,0
404,0
405,0
406,0
407,1
408,0
409,2
410,0
411,3
412,1
413,1
414,2
415,0
416,1
417,0
418,1
419,1
420,1
421,0
422,0
423,0
424,1
425,0
426,2
427,2
428,1
429,0
430,0
431,0
432,2
433,1
434,0
435,0
436,2
437,0
438,1
439,0
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,2
448,0
449,0
450,2
451,0
452,0
453,0
454,1
455,0
456,0
457,2
458,0
459,1
460,2
461,0
462,2
463,0
464,1
465,3
466,0
467,0
468,3
469,2
470,2
471,1
472,0
473,1
474,0
475,3
476,2
477,0
478,0
479,0
480,2
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,0
497,1
498,2
499,0
500,1
501,1
502,1
503,0
504,2
505,0
506,0
507,0
508,1
509,1
510,0
511,2
512,0
513,1
514,0
515,0
516,2
517,2
518,0
519,0
520,0
521,0
522,0
523,0
524,2
525,2
526,1
527,0
528,1
529,0
530,0
531,1
532,0
533,0
534,1
535,0
536,2
537,1
538,0
539,0
540,2
541,0
542,3
543,1
544,0
545,1
546,0
547,0
548,1
549,2
550,0
551,3
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,2
561,0
562,2
563,0
564,0
565,0
566,2
567,0
568,0
569,3
570,1
571,0
572,2
573,2
574,0
575,0
576,0
577,0
578,2
579,0
580,0
581,2
582,3
583,0
584,1
585,2
586,1
587,0
588,2
589,0
590,2
591,0
592,1
593,1
594,1
595,0
596,0
597,1
598,1
599,0
600,1
601,2
602,0
603,0
604,2
605,0
606,0
607,1
608,1
609,2
610,0
611,0
612,0
613,2
614,1
615,2
616,1
617,0
618,3
619,1
620,0
621,0
622,0
623,2
624,0
625,1
626,0
627,0
628,2
629,0
630,0
631,1
632,0
633,3
634,0
635,0
636,1
637,0
638,0
639,2
640,2
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,0
649,1
650,2
651,0
652,0
653,2
654,0
655,0
656,0
657,1
658,2
659,0
660,1
661,0
662,1
663,2
664,0
665,0
666,0
667,0
668,2
669,0
670,1
671,0
672,0
673,0
674,2
675,1
676,2
677,0
678,0
679,0
680,0
681,1
682,0
683,0
684,1
685,1
686,0
687,0
688,0
689,0
690,0
691,1
692,2
693,0
694,0
695,0
696,0
697,0
698,3
699,0
700,2
701,3
702,0
703,0
704,0
705,1
706,3
707,0
708,1
709,0
710,0
711,1
712,1
713,0
714,0
715,2
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,2
727,0
728,2
729,0
730,0
731,2
732,2
733,1
734,0
735,0
736,0
737,0
738,2
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,0
750,1
751,0
752,2
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,1
764,0
765,1
766,1
767,1
768,1
769,1
770,2
771,0
772,1
773,0
774,2
775,0
776,1
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,0
789,2
790,0
791,0
792,0
793,0
794,0
795,1
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,3
804,0
805,3
806,0
807,0
808,0
809,0
810,1
811,0
812,2
813,0
814,2
815,0
816,0
817,1
818,0
819,0
820,0
821,0
822,0
823,1
824,2
825,0
826,0
827,0
828,0
829,2
830,0
831,2
832,0
833,1
834,0
835,0
836,2
837,0
838,0
839,0
840,0
841,2
842,1
843,0
844,0
845,0
846,0
847,0
848,3
849,0
850,0
851,1
852,0
853,0
854,1
855,2
856,0
857,0
858,0
859,0
860,3
861,0
862,0
863,0
864,0
865,1
866,0
867,0
868,1
869,0
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,1
878,1
879,1
880,0
881,0
882,3
883,2
884,0
885,0
886,1
887,1
888,0
889,1
890,2
891,2
892,0
893,0
894,3
895,0
896,1
897,0
898,0
899,0
900,0
901,2
902,1
903,0
904,2
905,0
906,1
907,0
908,0
909,2
910,2
911,0
912,2
913,1
914,0
915,0
916,1
917,2
918,0
919,1
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,0
928,0
929,3
930,1
931,1
932,2
933,1
934,0
935,0
936,1
937,0
938,0
939,0
940,2
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,2
949,0
950,0
951,3
952,2
953,2
954,0
955,0
956,2
957,0
958,0
959,0
960,0
961,0
962,2
963,3
964,0
965,0
966,0
967,3
968,0
969,0
970,0
971,1
972,0
973,0
974,3
975,0
976,0
977,1
978,1
979,0
980,2
981,0
982,0
983,1
984,0
985,1
986,0
987,0
988,0
989,1
990,1
991,2
992,2
993,2
994,0
995,1
996,0
997,0
998,1
999,0
1000,0
1001,0
1002,2
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,2
1010,2
1011,0
1012,0
1013,1
1014,1
1015,0
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,0
1030,1
1031,0
1032,0
1033,3
1034,2
1035,0
1036,0
1037,0
1038,0
1039,0
1040,1
1041,0
1042,0
1043,0
1044,2
1045,2
1046,0
1047,1
1048,3
1049,1
1050,1
1051,0
1052,1
1053,0
1054,2
1055,2
1056,0
1057,0
1058,0
1059,0
1060,2
1061,1
1062,0
1063,0
1064,0
1065,0
1066,2
1067,0
1068,2
1069,0
1070,0
1071,1
1072,2
1073,2
1074,0
1075,2
1076,1
1077,0
1078,1
1079,0
1080,0
1081,1
1082,2
1083,0
1084,0
1085,0
1086,1
1087,0
1088,2
1089,0
1090,1
1091,1
1092,1
1093,0
1094,0
1095,2
1096,1
1097,1
1098,0
1099,0
1100,1
1101,1
1102,0
1103,0
1104,2
1105,0
1106,0
1107,1
1108,1
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,2
1116,1
1117,0
1118,0
1119,0
1120,0
1121,1
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,2
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,1
1138,0
1139,0
1140,1
1141,3
1142,0
1143,0
1144,0
1145,1
1146,0
1147,1
1148,3
1149,0
1150,1
1151,0
1152,0
1153,0
1154,0
1155,0
1156,2
1157,0
1158,2
1159,2
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,1
1169,2
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,2
1177,0
1178,0
1179,1
1180,1
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,2
1189,0
1190,2
1191,1
1192,0
1193,0
1194,0
1195,0
1196,1
1197,0
1198,2
1199,0
1200,0
1201,0
1202,2
1203,0
1204,0
1205,0
1206,1
1207,1
1208,0
1209,0
1210,1
1211,0
1212,0
1213,0
1214,0
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,3
1222,0
1223,0
1224,0
1225,0
1226,2
1227,1
1228,3
1229,1
1230,1
