,0
0,2
1,0
2,1
3,3
4,0
5,0
6,0
7,1
8,3
9,2
10,0
11,0
12,0
13,0
14,3
15,1
16,3
17,2
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,3
26,1
27,0
28,3
29,2
30,2
31,1
32,2
33,0
34,2
35,1
36,0
37,0
38,3
39,2
40,0
41,0
42,1
43,0
44,0
45,2
46,0
47,0
48,0
49,3
50,0
51,1
52,2
53,0
54,3
55,1
56,1
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,2
67,1
68,0
69,1
70,2
71,0
72,1
73,1
74,0
75,1
76,2
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,3
92,2
93,1
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,2
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,3
113,1
114,0
115,0
116,3
117,0
118,0
119,2
120,0
121,0
122,2
123,1
124,2
125,1
126,1
127,2
128,0
129,0
130,0
131,0
132,3
133,3
134,1
135,0
136,2
137,2
138,3
139,0
140,1
141,3
142,0
143,0
144,0
145,1
146,1
147,2
148,1
149,3
150,2
151,1
152,2
153,0
154,0
155,0
156,0
157,1
158,0
159,2
160,3
161,1
162,0
163,2
164,1
165,1
166,0
167,2
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,2
176,3
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,3
185,0
186,1
187,1
188,3
189,0
190,1
191,1
192,1
193,2
194,1
195,0
196,2
197,0
198,2
199,3
200,0
201,0
202,0
203,1
204,0
205,1
206,3
207,3
208,0
209,1
210,0
211,2
212,2
213,1
214,1
215,0
216,1
217,0
218,2
219,1
220,0
221,3
222,2
223,0
224,0
225,1
226,2
227,1
228,0
229,3
230,2
231,0
232,3
233,0
234,0
235,0
236,0
237,2
238,2
239,0
240,1
241,2
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,2
253,3
254,1
255,1
256,1
257,0
258,0
259,2
260,0
261,0
262,2
263,0
264,3
265,3
266,0
267,0
268,2
269,0
270,0
271,0
272,2
273,1
274,1
275,1
276,1
277,3
278,0
279,3
280,0
281,3
282,3
283,2
284,1
285,3
286,3
287,0
288,0
289,1
290,1
291,0
292,0
293,2
294,0
295,2
296,0
297,2
298,2
299,3
300,1
301,3
302,2
303,2
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,2
316,0
317,0
318,0
319,0
320,2
321,1
322,1
323,0
324,0
325,0
326,0
327,2
328,0
329,0
330,1
331,0
332,2
333,3
334,1
335,0
336,3
337,0
338,0
339,0
340,2
341,0
342,0
343,1
344,3
345,0
346,0
347,0
348,0
349,0
350,3
351,0
352,0
353,1
354,0
355,1
356,0
357,0
358,2
359,2
360,0
361,0
362,0
363,3
364,2
365,0
366,0
367,1
368,0
369,1
370,1
371,0
372,0
373,1
374,2
375,0
376,3
377,2
378,3
379,1
380,1
381,2
382,1
383,0
384,2
385,0
386,0
387,1
388,2
389,2
390,1
391,0
392,0
393,0
394,1
395,2
396,0
397,2
398,2
399,0
400,3
401,3
402,2
403,0
404,1
405,1
406,3
407,1
408,3
409,0
410,2
411,0
412,3
413,3
414,0
415,0
416,0
417,0
418,1
419,0
420,0
421,1
422,2
423,2
424,0
425,2
426,1
427,1
428,0
429,0
430,3
431,1
432,0
433,2
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,0
442,3
443,3
444,2
445,0
446,2
447,3
448,2
449,1
450,2
451,0
452,3
453,1
454,2
455,0
456,1
457,1
458,0
459,0
460,0
461,2
462,1
463,0
464,1
465,0
466,0
467,0
468,0
469,3
470,3
471,0
472,3
473,2
474,3
475,1
476,0
477,0
478,2
479,0
480,1
481,3
482,2
483,1
484,0
485,1
486,0
487,3
488,2
489,0
490,2
491,3
492,0
493,0
494,0
495,2
496,2
497,0
498,2
499,1
500,2
501,0
502,1
503,1
504,1
505,2
506,0
507,1
508,0
509,0
510,0
511,1
512,2
513,2
514,0
515,0
516,0
517,1
518,2
519,1
520,3
521,2
522,1
523,2
524,0
525,2
526,2
527,2
528,0
529,1
530,0
531,2
532,2
533,0
534,0
535,1
536,0
537,1
538,1
539,0
540,1
541,0
542,1
543,1
544,0
545,0
546,0
547,3
548,2
549,3
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,1
558,0
559,0
560,0
561,0
562,0
563,2
564,0
565,0
566,0
567,0
568,1
569,2
570,0
571,0
572,1
573,2
574,1
575,3
576,0
577,1
578,3
579,0
580,2
581,0
582,0
583,0
584,2
585,0
586,3
587,1
588,1
589,0
590,1
591,0
592,1
593,2
594,0
595,3
596,3
597,1
598,0
599,2
600,0
601,0
602,0
603,1
604,1
605,2
606,0
607,0
608,0
609,2
610,1
611,0
612,0
613,0
614,2
615,0
616,1
617,0
618,0
619,0
620,1
621,3
622,3
623,0
624,1
625,2
626,2
627,2
628,0
629,3
630,0
631,3
632,0
633,0
634,0
635,2
636,2
637,3
638,0
639,1
640,0
641,1
642,1
643,0
644,2
645,3
646,1
647,2
648,2
649,1
650,2
651,0
652,1
653,1
654,3
655,3
656,2
657,2
658,0
659,0
660,3
661,1
662,0
663,3
664,0
665,0
666,0
667,2
668,2
669,0
670,0
671,1
672,1
673,0
674,1
675,0
676,0
677,2
678,0
679,1
680,0
681,2
682,0
683,1
684,0
685,2
686,2
687,0
688,0
689,0
690,1
691,1
692,0
693,1
694,1
695,0
696,0
697,0
698,2
699,1
700,2
701,0
702,1
703,0
704,0
705,1
706,2
707,1
708,2
709,0
710,2
711,1
712,1
713,0
714,1
715,0
716,0
717,0
718,1
719,0
720,2
721,2
722,1
723,1
724,0
725,0
726,2
727,1
728,0
729,1
730,2
731,0
732,0
733,0
734,2
735,0
736,1
737,0
738,2
739,1
740,3
741,0
742,0
743,3
744,0
745,0
746,0
747,1
748,0
749,2
750,2
751,0
752,2
753,2
754,0
755,2
756,3
757,1
758,0
759,0
760,1
761,3
762,0
763,1
764,0
765,1
766,0
767,2
768,0
769,3
770,1
771,0
772,3
773,2
774,0
775,0
776,0
777,0
778,3
779,0
780,0
781,0
782,3
783,1
784,3
785,0
786,0
787,0
788,1
789,2
790,0
791,3
792,2
793,1
794,1
795,0
796,2
797,3
798,0
799,1
800,1
801,2
802,2
803,1
804,2
805,0
806,2
807,3
808,0
809,3
810,0
811,2
812,0
813,3
814,2
815,0
816,0
817,0
818,0
819,2
820,2
821,0
822,2
823,0
824,1
825,1
826,3
827,1
828,0
829,0
830,0
831,2
832,3
833,3
834,0
835,1
836,0
837,1
838,0
839,2
840,0
841,1
842,2
843,0
844,1
845,0
846,3
847,3
848,1
849,0
850,0
851,1
852,0
853,1
854,0
855,0
856,0
857,0
858,0
859,0
860,2
861,0
862,0
863,1
864,0
865,1
866,1
867,2
868,0
869,0
870,1
871,0
872,0
873,1
874,1
875,0
876,1
877,0
878,3
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,3
887,1
888,2
889,2
890,0
891,0
892,0
893,1
894,0
895,0
896,1
897,1
898,1
899,1
900,2
901,0
902,1
903,0
904,1
905,0
906,0
907,0
908,0
909,0
910,1
911,0
912,1
913,2
914,1
915,0
916,3
917,0
918,1
919,0
920,0
921,0
922,1
923,1
924,2
925,0
926,0
927,0
928,1
929,1
930,2
931,0
932,1
933,1
934,0
935,1
936,2
937,0
938,0
939,1
940,0
941,2
942,2
943,3
944,0
945,0
946,0
947,0
948,2
949,3
950,1
951,2
952,0
953,0
954,3
955,1
956,2
957,2
958,3
959,0
960,1
961,1
962,1
963,3
964,2
965,0
966,0
967,2
968,1
969,1
970,1
971,2
972,0
973,3
974,0
975,0
976,2
977,0
978,0
979,3
980,1
981,1
982,0
983,2
984,2
985,3
986,0
987,0
988,0
989,3
990,0
991,1
992,2
993,2
994,1
995,1
996,2
997,3
998,0
999,0
1000,0
1001,0
1002,1
1003,0
1004,0
1005,1
1006,1
1007,0
1008,0
1009,0
1010,0
1011,1
1012,1
1013,3
1014,0
1015,0
1016,1
1017,2
1018,2
1019,2
1020,0
1021,0
1022,2
1023,3
1024,0
1025,2
1026,1
1027,1
1028,3
1029,0
1030,0
1031,0
1032,2
1033,1
1034,0
1035,0
1036,1
1037,0
1038,1
1039,3
1040,0
1041,0
1042,0
1043,1
1044,0
1045,1
1046,1
1047,3
1048,1
1049,0
1050,2
1051,1
1052,1
1053,3
1054,0
1055,0
1056,0
1057,0
1058,2
1059,3
1060,3
1061,1
1062,1
1063,1
1064,0
1065,3
1066,0
1067,0
1068,2
1069,0
1070,0
1071,2
1072,1
1073,1
1074,0
1075,2
1076,2
1077,0
1078,0
1079,1
1080,2
1081,1
1082,0
1083,2
1084,1
1085,2
1086,0
1087,3
1088,2
1089,2
1090,1
1091,0
1092,0
1093,0
1094,0
1095,0
1096,1
1097,0
1098,0
1099,0
1100,3
1101,3
1102,0
1103,0
1104,1
1105,1
1106,2
1107,3
1108,3
1109,3
1110,1
1111,0
1112,1
1113,1
1114,0
1115,0
1116,1
1117,1
1118,0
1119,0
1120,0
1121,1
1122,1
1123,3
1124,0
1125,0
1126,3
1127,0
1128,0
1129,0
1130,0
1131,2
1132,0
1133,2
1134,3
1135,0
1136,1
1137,1
1138,1
1139,1
1140,3
1141,2
1142,0
1143,0
1144,0
1145,1
1146,0
1147,2
1148,1
1149,2
1150,1
1151,1
1152,0
1153,0
1154,3
1155,0
1156,1
1157,0
1158,2
